Proposal,Proposal Type,Proposal Description,Line,Item,Item Type,Item Description,Item Description Subset,Quantity,Unit,Vendor Name,Unit Price,Extension,County,Date,Total Contract Amount,Latitude,Longitude
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,6,0050000000-E,ROADWAY ITEMS,SUPP CLEARING & GRUBBING,,1.0,ACR,CROWDER CONSTRUCTION COMPANY,19296.7,19296.7,MECKLENBURG,07/18/2023,12963787.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,7,0057000000-E,ROADWAY ITEMS,UNDERCUT EXCAVATION,,2750.0,CY,"POLIVKA INTERNATIONAL COMPANY, INC.",50.0,137500.0,MECKLENBURG,07/18/2023,8155730.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,7,0057000000-E,ROADWAY ITEMS,UNDERCUT EXCAVATION,,2750.0,CY,CROWDER CONSTRUCTION COMPANY,28.16,77440.0,MECKLENBURG,07/18/2023,12963787.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,8,0127000000-N,ROADWAY ITEMS,EMBM'T SETTLEMENT GAUGE,,5.0,EA,"POLIVKA INTERNATIONAL COMPANY, INC.",4500.0,22500.0,MECKLENBURG,07/18/2023,8155730.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,8,0127000000-N,ROADWAY ITEMS,EMBM'T SETTLEMENT GAUGE,,5.0,EA,CROWDER CONSTRUCTION COMPANY,1877.52,9387.6,MECKLENBURG,07/18/2023,12963787.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,9,0134000000-E,ROADWAY ITEMS,DRAINAGE DITCH EXCAVATION,,110.0,CY,"POLIVKA INTERNATIONAL COMPANY, INC.",55.0,6050.0,MECKLENBURG,07/18/2023,8155730.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,9,0134000000-E,ROADWAY ITEMS,DRAINAGE DITCH EXCAVATION,,110.0,CY,CROWDER CONSTRUCTION COMPANY,33.9,3729.0,MECKLENBURG,07/18/2023,12963787.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,10,0192000000-N,ROADWAY ITEMS,PROOF ROLLING,,10.0,HR,"POLIVKA INTERNATIONAL COMPANY, INC.",1500.0,15000.0,MECKLENBURG,07/18/2023,8155730.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,10,0192000000-N,ROADWAY ITEMS,PROOF ROLLING,,10.0,HR,CROWDER CONSTRUCTION COMPANY,782.3,7823.0,MECKLENBURG,07/18/2023,12963787.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,11,0195000000-E,ROADWAY ITEMS,SELECT GRANULAR MATERIAL,,2000.0,CY,"POLIVKA INTERNATIONAL COMPANY, INC.",75.0,150000.0,MECKLENBURG,07/18/2023,8155730.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,11,0195000000-E,ROADWAY ITEMS,SELECT GRANULAR MATERIAL,,2000.0,CY,CROWDER CONSTRUCTION COMPANY,50.07,100140.0,MECKLENBURG,07/18/2023,12963787.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,12,0196000000-E,ROADWAY ITEMS,GEOTEXTILE SOIL STABILIZATION,,2300.0,SY,"POLIVKA INTERNATIONAL COMPANY, INC.",4.5,10350.0,MECKLENBURG,07/18/2023,8155730.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,12,0196000000-E,ROADWAY ITEMS,GEOTEXTILE SOIL STABILIZATION,,2300.0,SY,CROWDER CONSTRUCTION COMPANY,2.92,6716.0,MECKLENBURG,07/18/2023,12963787.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,13,0199000000-E,ROADWAY ITEMS,TEMPORARY SHORING,,1230.0,SF,"POLIVKA INTERNATIONAL COMPANY, INC.",95.0,116850.0,MECKLENBURG,07/18/2023,8155730.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,13,0199000000-E,ROADWAY ITEMS,TEMPORARY SHORING,,1230.0,SF,CROWDER CONSTRUCTION COMPANY,975.0,1199250.0,MECKLENBURG,07/18/2023,12963787.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,14,0223000000-E,ROADWAY ITEMS,ROCK PLATING,,251.0,SY,"POLIVKA INTERNATIONAL COMPANY, INC.",95.0,23845.0,MECKLENBURG,07/18/2023,8155730.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,14,0223000000-E,ROADWAY ITEMS,ROCK PLATING,,251.0,SY,CROWDER CONSTRUCTION COMPANY,81.36,20421.36,MECKLENBURG,07/18/2023,12963787.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,15,0255000000-E,ROADWAY ITEMS,GENERIC GRADING ITEM (TON),HAULING & DISPOSAL OF CONTAMINATED SOIL,1500.0,TON,"POLIVKA INTERNATIONAL COMPANY, INC.",125.0,187500.0,MECKLENBURG,07/18/2023,8155730.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,15,0255000000-E,ROADWAY ITEMS,GENERIC GRADING ITEM (TON),HAULING & DISPOSAL OF CONTAMINATED SOIL,1500.0,TON,CROWDER CONSTRUCTION COMPANY,495.46,743190.0,MECKLENBURG,07/18/2023,12963787.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,16,0255000000-E,ROADWAY ITEMS,GENERIC GRADING ITEM (TON),SURGE STONE,200.0,TON,"POLIVKA INTERNATIONAL COMPANY, INC.",85.0,17000.0,MECKLENBURG,07/18/2023,8155730.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,16,0255000000-E,ROADWAY ITEMS,GENERIC GRADING ITEM (TON),SURGE STONE,200.0,TON,CROWDER CONSTRUCTION COMPANY,54.24,10848.0,MECKLENBURG,07/18/2023,12963787.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,17,0257000000-E,ROADWAY ITEMS,GENERIC GRADING ITEM (LF),RAILROAD SIGNAL CONDUIT,1500.0,LF,"POLIVKA INTERNATIONAL COMPANY, INC.",65.0,97500.0,MECKLENBURG,07/18/2023,8155730.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,17,0257000000-E,ROADWAY ITEMS,GENERIC GRADING ITEM (LF),RAILROAD SIGNAL CONDUIT,1500.0,LF,CROWDER CONSTRUCTION COMPANY,50.07,75105.0,MECKLENBURG,07/18/2023,12963787.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,18,0318000000-E,ROADWAY ITEMS,FND CONDIT MATL MINOR STRS,,70.0,TON,"POLIVKA INTERNATIONAL COMPANY, INC.",55.0,3850.0,MECKLENBURG,07/18/2023,8155730.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,18,0318000000-E,ROADWAY ITEMS,FND CONDIT MATL MINOR STRS,,70.0,TON,CROWDER CONSTRUCTION COMPANY,38.59,2701.3,MECKLENBURG,07/18/2023,12963787.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,19,0320000000-E,ROADWAY ITEMS,FND CONDIT GEOTEXTILE,,540.0,SY,"POLIVKA INTERNATIONAL COMPANY, INC.",4.5,2430.0,MECKLENBURG,07/18/2023,8155730.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,19,0320000000-E,ROADWAY ITEMS,FND CONDIT GEOTEXTILE,,540.0,SY,CROWDER CONSTRUCTION COMPANY,2.61,1409.4,MECKLENBURG,07/18/2023,12963787.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,20,0335000000-E,ROADWAY ITEMS,"**"" DRAINAGE PIPE","(8"")",24.0,LF,"POLIVKA INTERNATIONAL COMPANY, INC.",45.0,1080.0,MECKLENBURG,07/18/2023,8155730.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,20,0335000000-E,ROADWAY ITEMS,"**"" DRAINAGE PIPE","(8"")",24.0,LF,CROWDER CONSTRUCTION COMPANY,1146.12,27506.88,MECKLENBURG,07/18/2023,12963787.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,21,0546000000-E,ROADWAY ITEMS,"**"" CAA PIPE CLVT *****""","(36"", 0.109"")",106.0,LF,"POLIVKA INTERNATIONAL COMPANY, INC.",175.0,18550.0,MECKLENBURG,07/18/2023,8155730.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,21,0546000000-E,ROADWAY ITEMS,"**"" CAA PIPE CLVT *****""","(36"", 0.109"")",106.0,LF,CROWDER CONSTRUCTION COMPANY,2200.0,233200.0,MECKLENBURG,07/18/2023,12963787.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,22,0986000000-E,ROADWAY ITEMS,GENERIC PIPE ITEM (LF),"36"" WELDED STEEL PIPE, 0.532"" THICK, GRADE B IN SOIL",44.0,LF,"POLIVKA INTERNATIONAL COMPANY, INC.",1650.0,72600.0,MECKLENBURG,07/18/2023,8155730.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,22,0986000000-E,ROADWAY ITEMS,GENERIC PIPE ITEM (LF),"36"" WELDED STEEL PIPE, 0.532"" THICK, GRADE B IN SOIL",44.0,LF,CROWDER CONSTRUCTION COMPANY,6800.0,299200.0,MECKLENBURG,07/18/2023,12963787.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,23,0986000000-E,ROADWAY ITEMS,GENERIC PIPE ITEM (LF),"36"" WELDED STEEL PIPE, 0.532"" THICK, GRADE B NOT IN SOIL",44.0,LF,"POLIVKA INTERNATIONAL COMPANY, INC.",750.0,33000.0,MECKLENBURG,07/18/2023,8155730.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,23,0986000000-E,ROADWAY ITEMS,GENERIC PIPE ITEM (LF),"36"" WELDED STEEL PIPE, 0.532"" THICK, GRADE B NOT IN SOIL",44.0,LF,CROWDER CONSTRUCTION COMPANY,6800.0,299200.0,MECKLENBURG,07/18/2023,12963787.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,24,0986000000-E,ROADWAY ITEMS,GENERIC PIPE ITEM (LF),"36"" WELDED STEEL PIPE, 0.532"" THICK, GRADE B, OPEN CUT",36.0,LF,"POLIVKA INTERNATIONAL COMPANY, INC.",550.0,19800.0,MECKLENBURG,07/18/2023,8155730.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,24,0986000000-E,ROADWAY ITEMS,GENERIC PIPE ITEM (LF),"36"" WELDED STEEL PIPE, 0.532"" THICK, GRADE B, OPEN CUT",36.0,LF,CROWDER CONSTRUCTION COMPANY,6250.0,225000.0,MECKLENBURG,07/18/2023,12963787.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,25,0995000000-E,ROADWAY ITEMS,PIPE REMOVAL,,135.0,LF,"POLIVKA INTERNATIONAL COMPANY, INC.",15.0,2025.0,MECKLENBURG,07/18/2023,8155730.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,25,0995000000-E,ROADWAY ITEMS,PIPE REMOVAL,,135.0,LF,CROWDER CONSTRUCTION COMPANY,215.52,29095.2,MECKLENBURG,07/18/2023,12963787.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,26,1275000000-E,ROADWAY ITEMS,PRIME COAT,,110.0,GAL,"POLIVKA INTERNATIONAL COMPANY, INC.",5.75,632.5,MECKLENBURG,07/18/2023,8155730.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,26,1275000000-E,ROADWAY ITEMS,PRIME COAT,,110.0,GAL,CROWDER CONSTRUCTION COMPANY,10.0,1100.0,MECKLENBURG,07/18/2023,12963787.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,27,1523000000-E,ROADWAY ITEMS,ASP CONC SURF CRS S9.5C,,50.0,TON,"POLIVKA INTERNATIONAL COMPANY, INC.",325.0,16250.0,MECKLENBURG,07/18/2023,8155730.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,27,1523000000-E,ROADWAY ITEMS,ASP CONC SURF CRS S9.5C,,50.0,TON,CROWDER CONSTRUCTION COMPANY,125.0,6250.0,MECKLENBURG,07/18/2023,12963787.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,28,1575000000-E,ROADWAY ITEMS,ASP FOR PLANT MIX,,5.0,TON,"POLIVKA INTERNATIONAL COMPANY, INC.",645.0,3225.0,MECKLENBURG,07/18/2023,8155730.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,28,1575000000-E,ROADWAY ITEMS,ASP FOR PLANT MIX,,5.0,TON,CROWDER CONSTRUCTION COMPANY,650.0,3250.0,MECKLENBURG,07/18/2023,12963787.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,29,2000000000-N,ROADWAY ITEMS,RIGHT-OF-WAY MARKERS,,9.0,EA,"POLIVKA INTERNATIONAL COMPANY, INC.",200.0,1800.0,MECKLENBURG,07/18/2023,8155730.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,29,2000000000-N,ROADWAY ITEMS,RIGHT-OF-WAY MARKERS,,9.0,EA,CROWDER CONSTRUCTION COMPANY,250.0,2250.0,MECKLENBURG,07/18/2023,12963787.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,30,2022000000-E,ROADWAY ITEMS,SUBDRAIN EXCAVATION,,168.0,CY,"POLIVKA INTERNATIONAL COMPANY, INC.",45.0,7560.0,MECKLENBURG,07/18/2023,8155730.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,30,2022000000-E,ROADWAY ITEMS,SUBDRAIN EXCAVATION,,168.0,CY,CROWDER CONSTRUCTION COMPANY,21.2,3561.6,MECKLENBURG,07/18/2023,12963787.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,31,2033000000-E,ROADWAY ITEMS,SUBDRAIN FINE AGGREGATE,,84.0,CY,"POLIVKA INTERNATIONAL COMPANY, INC.",105.0,8820.0,MECKLENBURG,07/18/2023,8155730.0,35.2632655,-80.8543847
