Payitem,Global Weighted Avg,Proposal Quantity,Global Unit Price Prediction
5643000000-E,2324.66,13.0,30220.58
5649000000-N,2293.64,1.0,2293.64
5666000000-N,9201.7,10.0,92017.0
5673000000-E,164.36,140.0,23010.4
5686000000-E,88.83,130.0,11547.9
5686000000-E,88.83,51.0,4530.33
5691300000-E,255.21,308.0,78604.68
5709300000-E,143.29,1304.0,186850.16
5709600000-E,165.43,232.0,38379.76
5768000000-N,2260.46,1.0,2260.46
5768500000-E,118.36,41.0,4852.76
5769000000-E,17.57,4151.0,72933.07
5775000000-E,8570.73,3.0,25712.19
5798000000-E,24.34,191.0,4648.94
5800000000-E,12.35,1289.0,15919.15
5801000000-E,21.43,1449.0,31052.07
5804000000-E,25.73,8951.0,230309.23
5815000000-N,917.07,3.0,2751.21
5815500000-N,2042.62,10.0,20426.2
5828000000-N,2719.9,1.0,2719.9
5835700000-E,258.24,442.0,114142.08
5836000000-E,373.42,228.0,85139.76
5872500000-E,1119.6,332.0,371707.2
5872600000-E,254.98,415.0,105816.7
6000000000-E,3.08,22950.0,70686.0
6006000000-E,65.65,930.0,61054.5
6009000000-E,64.61,2225.0,143757.25
6012000000-E,57.79,2080.0,120203.2
6015000000-E,1307.89,41.5,54277.44
6018000000-E,3.31,2400.0,7944.0
6021000000-E,1177.39,12.5,14717.38
6024000000-E,20.97,400.0,8388.0
6029000000-E,2.67,1200.0,3204.0
6030000000-E,7.71,9100.0,70161.0
6036000000-E,1.75,14600.0,25550.0
6037000000-E,5.64,100.0,564.0
6042000000-E,5.72,4700.0,26884.0
6043000000-E,8.46,900.0,7614.0
6048000000-E,42.62,200.0,8524.0
6070000000-N,1099.71,5.0,5498.55
6071002000-E,7.17,215.0,1541.55
6071012000-E,11.82,1890.0,22339.8
6071030000-E,7.86,1255.0,9864.3
6071050000-E,1860.14,5.0,9300.7
6071050000-E,1860.14,3.0,5580.42
6071050000-E,1860.14,1.0,1860.14
6084000000-E,2747.9,40.0,109916.0
6087000000-E,236.88,20.0,4737.6
6090000000-E,8.49,450.0,3820.5
6093000000-E,1414.15,1.25,1767.69
6096000000-E,6.47,755.0,4884.85
6108000000-E,1252.91,23.25,29130.16
6111000000-E,157.28,275.0,43252.0
6114500000-N,107.85,10.0,1078.5
6117000000-N,254.89,50.0,12744.5
6117500000-N,1691.16,10.0,16911.6
6132000000-N,180.09,105.0,18909.45
6132000000-N,180.09,35.0,6303.15
7048500000-E,1151.73,4.0,4606.92
7060000000-E,3.69,5490.0,20258.1
7120000000-E,1132.77,17.0,19257.09
7132000000-E,1370.02,9.0,12330.18
7252000000-E,3.57,9495.0,33897.15
7264000000-E,5.93,1060.0,6285.8
7288000000-E,69.81,40.0,2792.4
7300000000-E,15.51,30.0,465.3
7300000000-E,15.51,70.0,1085.7
7300000000-E,15.51,20.0,310.2
7324000000-N,669.73,3.0,2009.19
7348000000-N,1201.36,3.0,3604.08
7360000000-N,1557.67,2.0,3115.34
7372000000-N,751.99,25.0,18799.75
7396000000-E,475.12,1.0,475.12
7408000000-E,763.57,1.0,763.57
7420000000-E,983.41,3.0,2950.23
7432000000-E,1030.49,1.0,1030.49
7456100000-E,2.98,650.0,1937.0
7516000000-E,3.7,10723.0,39675.1
7528000000-E,3.35,616.0,2063.6
7540000000-N,2904.69,3.0,8714.07
7552000000-N,2210.79,1.0,2210.79
7566000000-N,159.76,1.0,159.76
7575142060-N,1919.16,1.0,1919.16
7576000000-N,16302.94,4.0,65211.76
7613000000-N,1842.5,4.0,7370.0
7614100000-E,1571.99,40.0,62879.6
7642200000-N,3701.78,2.0,7403.56
7684000000-N,2320.74,1.0,2320.74
7696000000-N,23366.37,1.0,23366.37
7901000000-N,593.59,1.0,593.59
7980000000-N,5563.74,4.0,22254.96
7980000000-N,5563.74,5.0,27818.7
7980000000-N,5563.74,6.0,33382.44
4894900000-E,22.36,459.0,10263.24
4894900000-E,22.36,459.0,10263.24
4895000000-N,45.71,459.0,20980.89
4895000000-N,45.71,459.0,20980.89
4895000000-N,45.71,459.0,20980.89
8802030000-E,94.45,390.0,36835.5
,,Total,20022616.0
